====================================================
STARTING PROCESS Access Point
    Start time: 2025-10-01 12:30:00.022996+00:00
    Version: 2808
    Command line: ['.venv/bin/python3', '-m', 'process.access_point', '--market', 'US', '--ap', 'ARC']
====================================================
2025-10-01 12:30:17,820 - root - INFO - prometheus client http server running on http://prometheus.co
2025-10-01 12:30:17,957 - root - INFO - Initialized prometheus server.
2025-10-01 12:30:17,958 - root - INFO - Kafka publishing on topic internal_topic at brokers:9092
2025-10-01 12:30:17,971 - root - INFO - reading messages from 2025-10-01
2025-10-01 12:30:17,971 - subscription_state - INFO - Updating subscribed topics to: frozenset({'internal_topic'})
2025-10-01 12:30:17,983 - root - INFO - Kafka reading from start of day 2025-10-01 05:00:00+00:00 on topic internal_topic from brokers:9092
2025-10-01 12:30:18,527 - root - INFO - Kafka source starting for topic internal_topic at current offset 108569235534 end offset 133085825970 on servers brokers:9092
2025-10-01 12:30:25,589 - root - INFO - Kafka topic internal_topic is caught up at offset 10858223235969
2025-10-01 12:30:25,589 - root - INFO - Connecting to ARC at 124.4.4.4.4:12345
2025-10-01 12:30:25,589 - root - INFO - ARC attempting to connect to 124.4.4.4.4:12345
2025-10-01 12:30:25,590 - root - INFO - ARC connected to 124.4.4.4.4:12345
2025-10-01 12:30:25,590 - root - INFO - client connected ARC from ('127.0.0.1', 1377)
2025-10-01 14:00:45,900 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 21}
2025-10-01 14:17:24,818 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 4221}
2025-10-01 14:18:13,561 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 4421}
2025-10-01 14:19:16,427 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 4621}
2025-10-01 14:20:16,053 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 4821}
2025-10-01 14:21:04,651 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 5021}
2025-10-01 14:21:57,581 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 5221}
2025-10-01 14:23:04,505 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 5421}
2025-10-01 14:24:10,717 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 5621}
2025-10-01 14:25:07,809 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 5821}
2025-10-01 14:25:56,423 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 6021}
2025-10-01 14:27:06,479 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 6221}
2025-10-01 14:28:20,476 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 6421}
2025-10-01 14:29:28,937 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 6621}
2025-10-01 14:30:31,908 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 6821}
2025-10-01 14:31:36,506 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 7021}
2025-10-01 14:32:48,362 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 7221}
2025-10-01 14:33:57,774 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 7421}
2025-10-01 14:34:58,149 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 7621}
2025-10-01 14:36:01,246 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 7821}
2025-10-01 14:37:13,888 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 8021}
2025-10-01 14:38:38,412 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 8221}
2025-10-01 14:39:48,744 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 8421}
2025-10-01 14:40:57,247 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 8621}
2025-10-01 14:42:02,996 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 8821}
2025-10-01 14:43:19,350 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 9021}
2025-10-01 14:44:34,359 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 9221}
2025-10-01 14:45:43,220 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 9421}
2025-10-01 14:46:54,445 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 9621}
2025-10-01 14:48:10,074 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 9821}
2025-10-01 14:49:22,417 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 10021}
2025-10-01 14:50:30,549 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 10221}
2025-10-01 14:51:36,562 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 10421}
2025-10-01 14:52:54,591 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 10621}
2025-10-01 14:54:09,111 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 10821}
2025-10-01 14:55:27,565 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 11021}
2025-10-01 14:56:27,409 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 11221}
2025-10-01 14:57:45,736 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 11421}
2025-10-01 14:58:57,003 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 11621}
2025-10-01 15:00:19,840 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 11821}
2025-10-01 15:01:22,942 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 12021}
2025-10-01 15:02:47,260 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 12221}
2025-10-01 15:04:12,398 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 12421}
2025-10-01 15:05:24,010 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 12621}
2025-10-01 15:06:53,043 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 12821}
2025-10-01 15:08:31,960 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 13021}
2025-10-01 15:10:12,154 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 13221}
2025-10-01 15:11:38,080 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 13421}
2025-10-01 15:13:26,128 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 13621}
2025-10-01 15:15:12,280 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 13821}
2025-10-01 15:16:29,614 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 14021}
2025-10-01 15:18:00,393 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 14221}
2025-10-01 15:19:31,321 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 14421}
2025-10-01 15:20:50,066 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 14621}
2025-10-01 15:22:30,877 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 14821}
2025-10-01 15:24:13,942 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 15021}
2025-10-01 15:25:32,384 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 15221}
2025-10-01 15:27:01,169 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 15421}
2025-10-01 15:28:42,656 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 15621}
2025-10-01 15:30:22,277 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 15821}
2025-10-01 15:31:46,884 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 16021}
2025-10-01 15:33:20,734 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 16221}
2025-10-01 15:35:06,818 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 16421}
2025-10-01 15:36:29,996 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 16621}
2025-10-01 15:38:14,966 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 16821}
2025-10-01 15:39:42,650 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 17021}
2025-10-01 15:41:20,648 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 17221}
2025-10-01 15:43:02,305 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 17421}
2025-10-01 15:45:08,051 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 17621}
2025-10-01 15:46:52,668 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 17821}
2025-10-01 15:48:42,936 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 18021}
2025-10-01 15:50:23,638 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 18221}
2025-10-01 15:51:53,505 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 18421}
2025-10-01 15:53:52,971 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 18621}
2025-10-01 15:55:38,518 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 18821}
2025-10-01 15:57:31,987 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 19021}
2025-10-01 15:59:23,181 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 19221}
2025-10-01 16:01:06,918 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 19421}
2025-10-01 16:03:10,450 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 19621}
2025-10-01 16:05:13,090 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 19821}
2025-10-01 16:06:43,782 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 20021}
2025-10-01 16:08:39,561 - root - INFO - msgs by type: {<Message.INITIATE: 'I'>: 1, <Message.TEST_NOTICE: 'T'>: 1, <Message.HEARTBEAT: 'H'>: 177, <Message.ACCESS_SUCCESS: 'AS'>: 20221}
